pkd;firmy;przychody;ros;wynik_netto
01;129;13095232.0;12.2;0
02;8;0.0;0.0;0
03;3;0.0;0.0;0
05;12;20889098.0;-28.3;0
06;2;0.0;0.0;0
07;1;0.0;0.0;0
08;76;0.0;0.0;0
09;39;3202822.0;0.7;0
10;1076;284920213.0;4.2;0
11;55;31475764.0;7.0;0
12;8;0.0;0.0;0
13;148;9292048.0;2.5;0
14;110;3048662.0;6.2;0
15;33;0.0;0.0;0
16;272;27113769.0;4.5;0
17;250;43544872.0;5.6;0
18;140;9648303.0;5.2;0
19;21;0.0;0.0;0
20;284;67977102.0;3.4;0
21;66;18661792.0;13.6;0
22;711;88550108.0;4.5;0
23;356;59371402.0;6.9;0
24;166;55533885.0;1.9;0
25;1101;101427356.0;5.4;0
26;156;43110625.0;5.4;0
27;283;80981228.0;1.6;0
28;501;48837725.0;5.0;0
29;344;174054883.0;2.8;0
30;112;33640792.0;4.8;0
31;392;35278360.0;3.8;0
32;149;14130575.0;4.6;0
33;291;33466520.0;3.8;0
35;217;272731003.0;5.7;0
36;56;2029220.0;3.5;0
37;248;12370600.0;7.0;0
38;405;25346044.0;9.5;0
39;15;646189.0;8.6;0
41;330;56775946.0;5.7;0
42;443;50647489.0;3.8;0
43;318;21671920.0;3.8;0
45;424;189946300.0;0.8;0
46;1697;558420112.0;2.7;0
47;1076;391120821.0;2.4;0
49;908;91989445.0;4.1;0
50;11;1655028.0;2.9;0
51;7;12611447.0;-2.2;0
52;308;63280237.0;7.1;0
53;11;17041065.0;4.5;0
55;174;8726176.0;14.5;0
56;185;14782854.0;6.4;0
58;70;7908635.0;19.4;0
59;11;2146147.0;2.9;0
60;34;10590777.0;10.0;0
61;49;36661720.0;6.4;0
62;529;59686812.0;6.4;0
63;96;26071550.0;11.2;0
64;116;21593281.0;13.6;0
66;130;17332187.0;9.1;0
68;413;28567612.0;5.9;0
69;200;18342495.0;8.7;0
70;233;21000307.0;13.4;0
71;186;11002752.0;2.9;0
72;53;5388574.0;-6.2;0
73;116;19043464.0;5.5;0
74;49;2467049.0;0.9;0
75;7;373997.0;-15.5;0
77;65;11638613.0;6.8;0
78;215;11919068.0;2.2;0
79;26;19250188.0;2.9;0
80;250;12506760.0;2.6;0
81;216;7834404.0;4.1;0
82;180;14368778.0;12.6;0
85;106;0.0;0.0;0
86;476;43417048.0;2.4;0
87;5;105735.0;0.4;0
88;7;369697.0;1.4;0
91;6;362966.0;18.1;0
92;12;0.0;0.0;0
93;51;4607861.0;8.9;0
95;23;2503573.0;-0.7;0
96;38;2134166.0;12.7;0
