rok;pkd;liczba_upadlosci
2018;0111Z;6
2018;0113Z;4
2018;0119Z;2
2018;0124Z;1
2018;0129Z;1
2018;0130Z;1
2018;0141Z;3
2018;0147Z;2
2018;0149Z;1
2018;0150Z;9
2018;0161Z;4
2018;0210Z;1
2018;0220Z;3
2018;0240Z;1
2018;0811Z;3
2018;0812Z;3
2018;0990Z;1
2018;1011Z;2
2018;1013Z;10
2018;1020Z;1
2018;1032Z;2
2018;1039Z;3
2018;1051Z;4
2018;1052Z;2
2018;1071Z;18
2018;1073Z;2
2018;1082Z;3
2018;1083Z;1
2018;1085Z;2
2018;1089Z;2
2018;1091Z;2
2018;1101Z;2
2018;1107Z;2
2018;1310D;1
2018;1330Z;1
2018;1392Z;5
2018;1393Z;1
2018;1394Z;1
2018;1396Z;1
2018;1399Z;2
2018;1411Z;1
2018;1413Z;17
2018;1414Z;1
2018;1512Z;2
2018;1520Z;3
2018;1610Z;13
2018;1622Z;1
2018;1623Z;4
2018;1629Z;8
2018;1721Z;3
2018;1723Z;1
2018;1812Z;10
2018;1820Z;5
2018;1920Z;2
2018;2013Z;2
2018;2014Z;1
2018;2015Z;2
2018;2016Z;1
2018;2041Z;1
2018;2042Z;2
2018;2059Z;3
2018;2110Z;3
2018;2120Z;2
2018;2211Z;2
2018;2221Z;3
2018;2222Z;7
2018;2223Z;11
2018;2229Z;2
2018;2312Z;3
2018;2313Z;5
2018;2332Z;1
2018;2341Z;1
2018;2351Z;1
2018;2361Z;4
2018;2363Z;1
2018;2370Z;6
2018;2399Z;2
2018;2442A;1
2018;2442B;2
2018;2451Z;2
2018;2511Z;14
2018;2512Z;6
2018;2520Z;1
2018;2521Z;2
2018;2529Z;2
2018;2550Z;3
2018;2561Z;8
2018;2562Z;11
2018;2572Z;1
2018;2573Z;2
2018;2593Z;1
2018;2599Z;2
2018;2611Z;3
2018;2620Z;2
2018;2630Z;2
2018;2640Z;1
2018;2651Z;1
2018;2712Z;3
2018;2720Z;1
2018;2740Z;2
2018;2811Z;1
2018;2813Z;1
2018;2821Z;1
2018;2822Z;2
2018;2823Z;1
2018;2825Z;4
2018;2829Z;3
2018;2830Z;1
2018;2892Z;1
2018;2893Z;3
2018;2899Z;4
2018;2910C;2
2018;2910D;3
2018;2932Z;1
2018;3011Z;3
2018;3012Z;1
2018;3030Z;1
2018;3092Z;1
2018;3099Z;1
2018;3101Z;5
2018;3102Z;3
2018;3103Z;1
2018;3109Z;14
2018;3212Z;1
2018;3230Z;2
2018;3250Z;1
2018;3299Z;4
2018;3311Z;2
2018;3312Z;16
2018;3313Z;2
2018;3314Z;1
2018;3315Z;2
2018;3317Z;2
2018;3319Z;1
2018;3320Z;1
2018;3511Z;13
2018;3514Z;8
2018;3530Z;2
2018;3600Z;1
2018;3700Z;1
2018;3811Z;3
2018;3821Z;3
2018;3822Z;1
2018;3831Z;1
2018;3832Z;7
2018;3900Z;1
2018;4110Z;64
2018;4120Z;103
2018;4211Z;30
2018;4212Z;2
2018;4213Z;4
2018;4221Z;19
2018;4222Z;8
2018;4291Z;8
2018;4299Z;8
2018;4311Z;1
2018;4312Z;1
2018;4321Z;30
2018;4322Z;30
2018;4322z;1
2018;4329Z;3
2018;4331Z;1
2018;4332Z;3
2018;4333Z;4
2018;4339Z;8
2018;4391Z;2
2018;4399Z;15
2018;4511Z;19
2018;4519Z;4
2018;4520Z;18
2018;4531Z;7
2018;4532Z;3
2018;4613Z;1
2018;4614Z;1
2018;4615Z;1
2018;4616Z;2
2018;4617Z;4
2018;4618Z;3
2018;4619Z;5
2018;4621Z;7
2018;4623Z;2
2018;4631Z;14
2018;4632Z;7
2018;4633Z;1
2018;4634A;3
2018;4634B;3
2018;4635Z;1
2018;4636Z;1
2018;4638Z;5
2018;4639Z;9
2018;4641Z;6
2018;4642Z;15
2018;4643Z;10
2018;4644Z;4
2018;4645Z;6
2018;4646Z;7
2018;4647Z;3
2018;4649Z;5
2018;4651Z;5
2018;4652Z;5
2018;4661Z;4
2018;4662Z;1
2018;4663Z;1
2018;4665Z;1
2018;4669Z;6
2018;4671Z;19
2018;4672Z;4
2018;4673Z;28
2018;4674Z;6
2018;4675Z;5
2018;4676Z;3
2018;4677Z;2
2018;4690Z;51
2018;4711Z;42
2018;4719Z;7
2018;4721Z;2
2018;4722Z;3
2018;4723Z;1
2018;4724Z;2
2018;4725Z;4
2018;4729Z;1
2018;4730Z;4
2018;4741Z;1
2018;4743Z;3
2018;4752Z;6
2018;4754Z;2
2018;4759Z;5
2018;4761Z;2
2018;4762Z;2
2018;4764Z;8
2018;4765Z;2
2018;4771Z;19
2018;4772Z;7
2018;4773Z;29
2018;4774Z;2
2018;4776Z;3
2018;4777Z;3
2018;4778Z;1
2018;4779Z;1
2018;4791Z;18
2018;4799Z;6
2018;4920Z;1
2018;4931Z;4
2018;4932Z;4
2018;4939Z;6
2018;4941Z;71
2018;4961z;1
2018;5110Z;2
2018;5210B;4
2018;5223Z;1
2018;5229C;15
2018;5320Z;4
2018;5510Z;15
2018;5520Z;4
2018;5610A;39
2018;5610a;1
2018;5621Z;1
2018;5630Z;1
2018;5811Z;2
2018;5812Z;1
2018;5813Z;1
2018;5814Z;1
2018;5819Z;4
2018;5829Z;2
2018;5911Z;5
2018;5913Z;1
2018;5920Z;1
2018;6020Z;2
2018;6110Z;3
2018;6120Z;4
2018;6130Z;1
2018;6190Z;2
2018;6201Z;16
2018;6202Z;6
2018;6209Z;3
2018;6311Z;8
2018;6312Z;13
2018;6399Z;1
2018;6419Z;12
2018;6420Z;5
2018;6430Z;4
2018;6491Z;1
2018;6492Z;4
2018;6499Z;7
2018;6619Z;7
2018;6621Z;1
2018;6622Z;9
2018;6630Z;3
2018;6810Z;21
2018;6820Z;53
2018;6831Z;5
2018;6832Z;1
2018;6910Z;2
2018;6920Z;11
2018;7010Z;6
2018;7021Z;5
2018;7022Z;27
2018;7111Z;12
2018;7112Z;17
2018;7120B;2
2018;7219Z;4
2018;7311Z;20
2018;7320Z;1
2018;7410Z;4
2018;7420Z;1
2018;7490Z;6
2018;7500Z;2
2018;7711Z;1
2018;7721Z;1
2018;7731Z;1
2018;7732Z;1
2018;7739Z;3
2018;7810Z;3
2018;7820Z;5
2018;7830Z;4
2018;7911A;2
2018;7911B;1
2018;7912Z;4
2018;7990C;1
2018;8010Z;6
2018;8020Z;1
2018;8121Z;4
2018;8122Z;2
2018;8130Z;6
2018;8211Z;5
2018;8220Z;2
2018;8230Z;3
2018;8291Z;1
2018;8292Z;2
2018;8299Z;3
2018;8510Z;1
2018;8551Z;1
2018;8552Z;1
2018;8553Z;1
2018;8559B;2
2018;8610Z;6
2018;8621Z;2
2018;8622Z;5
2018;8623Z;4
2018;8690A;2
2018;8690B;4
2018;8690D;1
2018;8690E;4
2018;8810Z;3
2018;8891Z;1
2018;8899Z;1
2018;9001Z;1
2018;9002Z;1
2018;9003Z;1
2018;9004Z;1
2018;9103Z;5
2018;9200Z;2
2018;9311Z;2
2018;9312Z;4
2018;9313Z;1
2018;9319Z;4
2018;9329Z;3
2018;9411Z;2
2018;9499Z;11
2018;9601Z;2
2018;9602Z;5
2018;9604Z;2
2018;9609Z;8
2019;0111Z;4
2019;0113Z;1
2019;0119Z;1
2019;0141Z;4
2019;0150Z;13
2019;0161Z;4
2019;0162Z;1
2019;0163Z;2
2019;0811Z;3
2019;0990Z;2
2019;1011Z;6
2019;1012Z;1
2019;1013Z;5
2019;1020Z;1
2019;1032Z;1
2019;1039Z;3
2019;1041Z;1
2019;1061Z;1
2019;1071Z;8
2019;1082Z;1
2019;1084Z;1
2019;1085Z;2
2019;1086Z;1
2019;1089Z;1
2019;1092Z;1
2019;1101Z;3
2019;1105Z;1
2019;1107Z;3
2019;1310D;3
2019;1312A;1
2019;1330Z;1
2019;1391Z;3
2019;1392Z;2
2019;1413Z;10
2019;1414Z;1
2019;1439Z;1
2019;1511Z;1
2019;1512Z;1
2019;1520Z;3
2019;1610Z;4
2019;1622Z;1
2019;1623Z;1
2019;1624Z;1
2019;1629Z;2
2019;1721Z;5
2019;1722Z;1
2019;1729Z;1
2019;1811Z;1
2019;1812Z;2
2019;2013Z;2
2019;2015Z;1
2019;2016Z;2
2019;2042Z;1
2019;2052Z;1
2019;2110Z;1
2019;2120Z;1
2019;2211Z;1
2019;2219Z;1
2019;2222Z;2
2019;2223Z;6
2019;2229Z;5
2019;2312Z;1
2019;2331Z;2
2019;2361Z;1
2019;2363Z;1
2019;2370Z;3
2019;2399Z;1
2019;2410Z;1
2019;2452Z;2
2019;2511Z;19
2019;2512Z;7
2019;2521Z;1
2019;2529Z;2
2019;2550Z;2
2019;2561Z;1
2019;2562Z;9
2019;2572Z;1
2019;2594Z;1
2019;2599Z;2
2019;2630Z;1
2019;2651Z;1
2019;2711Z;1
2019;2712Z;1
2019;2740Z;2
2019;2811Z;1
2019;2812Z;1
2019;2821Z;1
2019;2822Z;2
2019;2825Z;1
2019;2829Z;3
2019;2830Z;1
2019;2891Z;1
2019;2893Z;3
2019;2899Z;3
2019;2920Z;2
2019;2932Z;1
2019;3012Z;1
2019;3020Z;2
2019;3101Z;2
2019;3102Z;3
2019;3109Z;9
2019;3240Z;2
2019;3250Z;1
2019;3299Z;2
2019;3311Z;1
2019;3312Z;3
2019;3313Z;1
2019;3314Z;2
2019;3317Z;1
2019;3319Z;2
2019;3320Z;5
2019;3511Z;5
2019;3513Z;1
2019;3514Z;1
2019;3700Z;2
2019;3811Z;4
2019;3821Z;1
2019;3831Z;1
2019;3832Z;4
2019;4110Z;22
2019;4120Z;65
2019;4211Z;14
2019;4212Z;3
2019;4213Z;2
2019;4221Z;4
2019;4222Z;4
2019;4291Z;5
2019;4299Z;2
2019;4311Z;3
2019;4312Z;1
2019;4321Z;17
2019;4322Z;14
2019;4329Z;3
2019;4331Z;5
2019;4332Z;3
2019;4339Z;8
2019;4391Z;5
2019;4399Z;13
2019;4511Z;8
2019;4519Z;1
2019;4520Z;11
2019;4531Z;5
2019;4532Z;4
2019;4540Z;1
2019;4612Z;1
2019;4614Z;2
2019;4615Z;2
2019;4616Z;2
2019;4617Z;5
2019;4618Z;2
2019;4619Z;8
2019;4621Z;5
2019;4623Z;1
